"year","tep","assess","w","fec","ssb"
1979,481,2020,0.536393552875696,574432.179849416,898297
1979,415.708049,2022,0.536393552875696,574432.179849416,776360
1980,NA,2020,0.553709365558912,637371.931051528,NA
1980,NA,2022,0.553709365558912,637371.931051528,NA
1981,NA,2020,0.617954507337526,606569.985063867,NA
1981,NA,2022,0.617954507337526,606569.985063867,NA
1982,NA,2022,0.611097128378378,578863.398795867,NA
1982,NA,2020,0.611097128378378,578863.398795867,NA
1983,108.1841939,2022,0.632140838509317,643275.812356286,212623
1983,173,2020,0.632140838509317,643275.812356286,340011
1984,356,2020,0.572834385113269,528058.332712295,772373
1984,358.959339,2022,0.572834385113269,528058.332712295,778794
1985,644,2020,0.471964661654135,527074.36021319,1153330
1985,678.2772571,2022,0.471964661654135,527074.36021319,1214716
1986,1017.981433,2022,0.523541447368421,562622.584998626,1894540
1986,1230,2020,0.523541447368421,562622.584998626,2289122
1987,542.5504319,2022,0.471186538461538,460832.986796296,1109480
1987,490,2020,0.471186538461538,460832.986796296,1002018
1988,410,2020,0.572343349753695,563496.705772893,832874
1988,455.0137732,2022,0.572343349753695,563496.705772893,924315
1989,494,2020,0.535226645091694,709762.358871176,745044
1989,538.0210737,2022,0.535226645091694,709762.358871176,811436
1990,354.4324009,2022,0.588130222841226,539666.759671191,772523
1990,424,2020,0.588130222841226,539666.759671191,924153
1991,NA,2022,0.51847216828479,442988.199110083,NA
1991,664,2020,0.51847216828479,442988.199110083,1554288
1992,512,2020,0.520339211618257,498967.984791565,1067859
1992,583.2116683,2022,0.520339211618257,498967.984791565,1216382
1993,573,2020,0.504363793103448,563217.330030445,1026248
1993,683.3664696,2022,0.504363793103448,563217.330030445,1223916
1994,218,2020,0.5091112,438418.064981408,506303
1994,315.6243543,2022,0.5091112,438418.064981408,733035
1995,NA,2022,0.478446674208145,514611.812214847,NA
1995,NA,2020,0.478446674208145,514611.812214847,NA
1996,94.33300076,2022,0.507653152777778,542212.994381238,176641
1996,70.8,2020,0.507653152777778,542212.994381238,132575
1997,NA,2020,0.508176194202899,501531.329836819,NA
1997,NA,2022,0.508176194202899,501531.329836819,NA
1998,55.8,2020,0.507168841285297,452565.608742456,125065
1998,74.67180557,2022,0.507168841285297,452565.608742456,167362
1999,NA,2022,0.442465641569459,493363.79565626,NA
1999,NA,2020,0.442465641569459,493363.79565626,NA
2000,112.6558212,2022,0.440352085452696,529228.637981555,187474
2000,101,2020,0.440352085452696,529228.637981555,168077
2001,NA,2020,0.45754406779661,538878.622282823,NA
2001,24.02611041,2022,0.45754406779661,538878.622282823,40800
2002,233,2020,0.41966511627907,462621.648053705,422730
2002,266.151951,2022,0.41966511627907,462621.648053705,482877
2003,246.1693759,2022,0.428555215577191,510419.957509523,413374
2003,208,2020,0.428555215577191,510419.957509523,349279
2004,267.2377135,2022,0.386391358024691,482098.264987738,428371
2004,130,2020,0.386391358024691,482098.264987738,208384
2005,72,2020,0.365134288443171,575289.699030067,91396
2005,119.1653454,2022,0.365134288443171,575289.699030067,151268
2006,NA,2020,0.422975920084122,585310.366793091,NA
2006,45.96162975,2022,0.422975920084122,585310.366793091,66429
2007,64,2020,0.413734936708861,538949.64718097,98262
2007,87.14504126,2022,0.413734936708861,538949.64718097,133797
2008,98.36700379,2022,0.372103058103976,512821.083991049,142750
2008,77,2020,0.372103058103976,512821.083991049,111742
2009,69.76867973,2022,0.423981492537313,483186.262466684,122440
2009,52.8,2020,0.423981492537313,483186.262466684,92661
2010,20.2,2020,0.421375507020281,534043.947978619,31877
2010,25.7264754,2022,0.421375507020281,534043.947978619,40598
2011,28.3,2020,0.41801232,522460.260317686,45285
2011,29.51261881,2022,0.41801232,522460.260317686,47225
2012,10.8644047,2022,0.374743333333333,384726.361258134,21165
2012,8.67,2020,0.374743333333333,384726.361258134,16890
2013,38.41038751,2022,0.390730549450549,641463.534883535,46793
2013,40,2020,0.390730549450549,641463.534883535,48730
2014,34.8,2020,0.431290549450549,558987.147739649,53700
2014,47.73541203,2022,0.431290549450549,558987.147739649,73661
2015,39.74,2020,0.400373684210526,667392.896735165,47681
2015,45.63544487,2022,0.400373684210526,667392.896735165,54754
2016,49.52030558,2022,0.393946100917431,580844.592375994,67172
2016,47.16,2020,0.393946100917431,580844.592375994,63971
2017,75.58528359,2022,0.384025081788441,562936.739120824,103126
2017,79.16,2020,0.384025081788441,562936.739120824,108003
2018,38.77,2020,0.316091264786169,470992.637264997,52038
2018,45.36617305,2022,0.316091264786169,470992.637264997,60892
2019,56.82,2020,0.269821942857143,665828.175976434,46052
2019,99.61985628,2022,0.269821942857143,665828.175976434,80740
2020,NA,2020,0.293221405405405,615982.338352214,NA
2020,NA,2022,0.293221405405405,615982.338352214,NA
2021,16.41576787,2022,0.352088479697828,451094.783823217,25626
2022,37.17182585,2022,0.243209530583215,553366.934907537,32675
